ticker,rank
TSLA,1
AAPL,2
NVDA,3
AMZN,4
MSFT,5
META,6
AMD,7
GOOGL,8
NFLX,9
GOOG,10
BA,11
BAC,12
JPM,13
V,14
MU,15
INTC,16
AVGO,17
DIS,18
XOM,19
UNH,20
CRM,21
BRK-B,22
JNJ,23
ADBE,24
WFC,25
C,26
GE,27
QCOM,28
MA,29
BKNG,30
HD,31
WMT,32
CVX,33
LLY,34
CSCO,35
PG,36
PFE,37
ORCL,38
COST,39
CMCSA,40
MRK,41
GS,42
T,43
NKE,44
KO,45
VZ,46
MCD,47
AMAT,48
GILD,49
SBUX,50
ABBV,51
SMCI,52
CAT,53
TXN,54
IBM,55
PEP,56
GM,57
TMO,58
AMGN,59
NOW,60
CHTR,61
BMY,62
LRCX,63
LOW,64
PANW,65
OXY,66
MS,67
UNP,68
TGT,69
CMG,70
CVS,71
DAL,72
F,73
RTX,74
BIIB,75
DHR,76
UAL,77
AXP,78
ACN,79
SLB,80
INTU,81
HON,82
MDT,83
COP,84
ABT,85
REGN,86
TMUS,87
FCX,88
NEE,89
SCHW,90
LMT,91
CCL,92
FDX,93
DE,94
ISRG,95
NXPI,96
LIN,97
LULU,98
MMM,99
ELV,100
EBAY,101
UPS,102
HUM,103
CI,104
PM,105
TJX,106
SPGI,107
MDLZ,108
ADI,109
CSX,110
VRTX,111
HAL,112
DD,113
BLK,114
MPC,115
AMT,116
DG,117
EA,118
VLO,119
EOG,120
SHW,121
BSX,122
AZO,123
WYNN,124
MCK,125
EXPE,126
NEM,127
ADSK,128
NOC,129
USB,130
LUV,131
MAR,132
KLAC,133
AIG,134
ORLY,135
RCL,136
HCA,137
ADP,138
ULTA,139
MO,140
EL,141
DLTR,142
COF,143
ENPH,144
CL,145
WDC,146
BDX,147
LVS,148
CB,149
EQIX,150
ZTS,151
FIS,152
DVN,153
ETN,154
KR,155
SYK,156
PNC,157
NSC,158
MCHP,159
MET,160
STZ,161
BX,162
HLT,163
EW,164
ON,165
ICE,166
CTSH,167
PSX,168
MGM,169
PLD,170
DUK,171
NCLH,172
URI,173
GD,174
SO,175
AON,176
KMI,177
APD,178
DXCM,179
HPQ,180
DHI,181
ALGN,182
ROST,183
EMR,184
CME,185
FSLR,186
CNC,187
PGR,188
CCI,189
PCG,190
CMI,191
EXC,192
SWKS,193
BK,194
MNST,195
BAX,196
TFC,197
YUM,198
PH,199
SPG,200
