ticker,avg_dollar_volume,rank
TSLA,11335801238.373299,1
AAPL,8269480926.751504,2
NVDA,7759113942.144769,3
AMZN,6714692357.225134,4
MSFT,4562250010.778271,5
META,4455272319.4058695,6
AMD,3396585885.75717,7
GOOGL,2601775674.945611,8
NFLX,2215534363.311945,9
GOOG,2194204166.358292,10
BA,1608773632.976605,11
BAC,1428849009.1445417,12
JPM,1271176701.9355862,13
V,1203002364.3125036,14
MU,1193824427.2865887,15
INTC,1143403043.3786771,16
AVGO,1110578206.9079258,17
DIS,1097077066.3408735,18
XOM,1060286444.0042069,19
UNH,953258763.3979923,20
CRM,943104976.0630167,21
BRK-B,938878301.1396601,22
JNJ,898146993.5447425,23
ADBE,880676656.3554306,24
WFC,866154077.6549101,25
C,866110219.6488706,26
GE,841563835.5842557,27
QCOM,837210813.6894344,28
MA,829816835.5758449,29
BKNG,820169846.5628397,30
HD,816523809.1194042,31
WMT,797288520.8847557,32
CVX,782387873.791063,33
LLY,757649241.8648593,34
CSCO,757523402.6790586,35
PG,756065917.8282547,36
PFE,755825346.8182307,37
ORCL,697109941.5354972,38
COST,689815992.8830277,39
CMCSA,685383221.7473695,40
MRK,647583019.9884037,41
GS,645110512.0787202,42
T,614147202.1235362,43
NKE,612304421.9902645,44
KO,595572522.1038656,45
VZ,590103766.3589259,46
MCD,589231620.4033419,47
AMAT,588418904.4647611,48
GILD,564942169.4412051,49
SBUX,555650145.0228528,50
ABBV,553569368.1028715,51
SMCI,543556152.6466904,52
CAT,539121046.2182981,53
TXN,538330348.5106329,54
IBM,526370366.6580823,55
PEP,526186944.27789676,56
GM,514502447.2109296,57
TMO,505451367.742478,58
AMGN,503988403.8949999,59
NOW,491892884.39139307,60
CHTR,489386160.5313428,61
BMY,488524234.69135475,62
LRCX,486197985.99491113,63
LOW,478606129.2467067,64
PANW,476801813.51308376,65
OXY,474806672.31646824,66
MS,472371591.6331669,67
UNP,472302779.7469497,68
TGT,454381631.34736615,69
CMG,453595583.06941426,70
CVS,450928880.3922015,71
DAL,445178664.7374734,72
F,443781500.1121438,73
RTX,442471500.249679,74
BIIB,442239772.4047269,75
DHR,438811640.34834325,76
UAL,436655251.57656384,77
AXP,425838630.9491302,78
ACN,424758871.55746865,79
SLB,423837134.7820109,80
INTU,417980673.1831493,81
HON,416868133.64745855,82
MDT,414148299.5367675,83
COP,413696038.2359477,84
ABT,411410428.4206228,85
REGN,404402393.88802695,86
TMUS,404209213.96065277,87
FCX,400402293.14286125,88
NEE,397053681.9752911,89
SCHW,397043361.01034933,90
LMT,391852419.85402274,91
CCL,388206625.74542177,92
FDX,386890164.12433696,93
DE,381524481.3732161,94
ISRG,378547475.6570295,95
NXPI,375212755.66605717,96
LIN,371221507.52884114,97
LULU,365514934.3492333,98
MMM,365499849.0979423,99
ELV,364213957.42411804,100
EBAY,349827089.33219427,101
UPS,349176587.5437162,102
HUM,339727042.4696773,103
CI,338882403.08456093,104
PM,334327977.97864205,105
TJX,334106994.65075076,106
SPGI,332079162.3641869,107
MDLZ,332011746.04539263,108
ADI,329129460.8369838,109
CSX,321667932.74425024,110
VRTX,319363368.8162022,111
HAL,319279814.82578343,112
DD,314481802.3521076,113
BLK,312342103.4197879,114
MPC,301675547.97814816,115
AMT,298792785.6056864,116
DG,298585558.1480842,117
EA,297406957.0195115,118
VLO,291542720.6552069,119
EOG,288253571.01532394,120
SHW,287514265.969432,121
BSX,285042792.7984624,122
AZO,282838214.6703753,123
WYNN,282454054.5434877,124
MCK,281808159.2107925,125
EXPE,273544752.1385901,126
NEM,272883475.84542143,127
ADSK,271190422.9392119,128
NOC,270356226.309383,129
USB,269586644.64850974,130
LUV,269586539.6594271,131
MAR,267786571.98460224,132
KLAC,267738338.420433,133
AIG,266121634.86290577,134
ORLY,264113596.88375846,135
RCL,262809000.18192074,136
HCA,262714112.84118402,137
ADP,261318683.17293113,138
ULTA,260835724.4252172,139
MO,260602246.01235998,140
EL,259373951.12134045,141
DLTR,259044357.98618752,142
COF,253720790.5889452,143
ENPH,253682532.35803533,144
CL,251687338.3025212,145
WDC,249772503.8963331,146
BDX,249484477.8084703,147
