universe,protocol,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,0,0.7,50000,300,,0.006385374814271927,0.0006677079945802689,0.45626962510868907,0.12796893088877992,0.1103692110192096,0.3077159131995436,0.9547966619281839,50000,0.1800240673886883,0.0,0.23802647412755717,0.1,0.4525426405740657,0.24695173706716816,0.2086813910302446,0.3027252562238262,0.7380952380952381,0.7380952380952381,0.8754271947551383,0.7,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,1,0.7,50000,300,,0.005025290884077549,0.0009893341921269894,0.47155195800587535,0.12435775753328002,0.10556780169207891,0.3026956234996052,1.0197669202664261,50000,0.20361010830324908,0.0,0.26401925391095066,0.1,0.5210574249917073,0.2961976712151998,0.25990793497303993,0.35905434372664896,0.7619047619047619,0.7619047619047619,0.9044554223559051,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,2,0.7,50000,300,,0.004057165700942278,0.00033674994483590126,0.46135150035843253,0.12235068751074103,0.10405207063784,0.298211977216481,1.0009863703196147,50000,0.20673886883273165,0.0,0.2578820697954272,0.1,0.41873747924799004,0.2779115719069842,0.23711307894199274,0.31125404336565565,0.6666666666666666,0.6666666666666666,0.8976730652128089,0.7,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,3,0.7,50000,300,,0.005265957675874233,0.0008916668593883514,0.40593725023791194,0.119937866383387,0.1030002415068823,0.28993834149555303,0.9636794890371168,50000,0.19975932611311673,0.0,0.2543922984356197,0.1,0.5220985986617491,0.3355081909818872,0.22525080901225258,0.36095253288529633,0.7142857142857143,0.7142857142857143,0.8978926118246939,0.8,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,4,0.7,50000,300,,0.004354625009000301,0.0005907081067562103,0.38586116675287485,0.11776048395535381,0.0999764855526794,0.289467324698294,0.9810537246468294,50000,0.1966305655836342,0.0,0.25740072202166064,0.1,0.5879477852237429,0.3036586288389948,0.21052701303219845,0.36737780903164535,0.7619047619047619,0.7619047619047619,0.8980362717183645,0.8,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,5,0.7,50000,300,,0.0035806670784950256,0.00028849998489022255,0.40007541608065367,0.12146442517288988,0.1042126312512317,0.2927884166408691,0.9649115449639548,50000,0.1901323706377858,0.0,0.2513838748495788,0.1,0.5519469040441818,0.3435822891783482,0.23441516354915007,0.3766481189238933,0.7857142857142857,0.7857142857142857,0.8865842152280322,0.7,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,6,0.7,50000,300,,0.003371416125446558,0.0002554580569267273,0.48557995865121484,0.1151774786954939,0.09555446444539933,0.2869103326225245,1.005084696382947,50000,0.20962695547533094,0.0,0.26750902527075815,0.1,0.3855794747832233,0.31311458991627034,0.27379049823057205,0.3241615209766886,0.7142857142857143,0.7142857142857143,0.9014420358468028,0.9,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,7,0.7,50000,300,,0.004296291619539261,0.001316457986831665,0.596398042049259,0.1195218554536685,0.10331069824489675,0.2854531052062565,0.9505022508255206,50000,0.1987966305655836,0.0,0.2540312876052948,0.1,0.4528626821166421,0.21748338221857827,0.1735657127574171,0.2813039256975458,0.6190476190476191,0.6190476190476191,0.9010483199111357,0.9,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,8,0.7,50000,300,,0.005463709123432636,0.00038079218938946724,0.5543877496384084,0.11549912644653039,0.0960606564529981,0.286274666225827,0.9787762694825484,50000,0.19181708784596868,0.0,0.24825511432009628,0.1,0.5438516456237986,0.287792654255947,0.23061140755673554,0.3540852358121604,0.7380952380952381,0.7380952380952381,0.9079935961563553,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,9,0.7,50000,300,,0.0035810424014925957,0.00035783275961875916,0.4997597923502326,0.12343626000726358,0.10457918363104046,0.30102306046388966,0.9800264826363727,50000,0.18315282791817086,0.0,0.23826714801444043,0.1,0.4958733944202744,0.34730839949559994,0.23205426605805046,0.3584120199913083,0.7857142857142857,0.7857142857142857,0.890290201349692,0.8,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,10,0.7,50000,300,,0.00491387490183115,0.0007964172400534153,0.4103284580633044,0.11875423506671429,0.09971398232048007,0.2921644833348299,0.9652852053216098,50000,0.19326113116726834,0.0,0.24897713598074608,0.1,0.3990526989071229,0.32956301028094576,0.15982209330658592,0.2961459341648849,0.7142857142857143,0.7142857142857143,0.8940274497043993,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,11,0.7,50000,300,,0.005015084054321051,0.0006424593739211559,0.4625858752988279,0.12673553997634077,0.10895345608274276,0.3062286268632529,1.0323045340684862,50000,0.21034897713598075,0.0,0.26654632972322506,0.1,0.6641938265946781,0.32875869187571327,0.2576000239400083,0.4168508474701332,0.7857142857142857,0.7857142857142857,0.9027169703529475,0.9,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,12,0.7,50000,300,,0.004554999992251396,0.0004852497950196266,0.48420308297500014,0.11508164454631403,0.09841133826359721,0.2800769448197469,0.9595601101946107,50000,0.20024067388688332,0.0,0.2557160048134778,0.1,0.5471966760040968,0.26122593966114305,0.2442944737452445,0.3509056964701614,0.6428571428571429,0.6428571428571429,0.9046494154903423,0.7,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,13,0.7,50000,300,,0.003518708050251007,0.0003370833583176136,0.49119995813816786,0.1320886253277496,0.11473010857934696,0.3137861212406111,0.9413655198149599,50000,0.17569193742478942,0.0,0.2315282791817088,0.1,0.39452865464655607,0.24868434765033737,0.15843366825662356,0.2672155568511723,0.7142857142857143,0.7142857142857143,0.8779209172150974,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,14,0.7,50000,300,,0.0036578751169145107,0.002317291684448719,0.37651145784184337,0.13260032921561404,0.11386398361636008,0.31823249177714547,1.0438865656675835,50000,0.21107099879663058,0.0,0.26293622141997597,0.1,0.6643413481837837,0.44186395037679704,0.2675857206948485,0.45793033975180975,0.8333333333333334,0.8333333333333334,0.9018466256026605,1.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,15,0.7,50000,300,,0.0036152908578515053,0.00033016689121723175,0.34130316600203514,0.1363433637112561,0.1197506520469917,0.31940681187157904,0.9372877473003899,50000,0.17280385078219015,0.0,0.21756919374247896,0.1,0.2017594160172121,0.14787179347895818,0.1526667002495954,0.16743263658192187,0.6904761904761905,0.6904761904761905,0.872564828879528,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,16,0.7,50000,300,,0.004996708128601313,0.0014270422980189323,0.3973019579425454,0.11392824809746195,0.09569423825503942,0.2817281904710445,1.0042575084478413,50000,0.2163658243080626,0.0,0.27484957882069794,0.1,0.5706202051227398,0.2614133091743885,0.26363989872155,0.36522447100622607,0.6904761904761905,0.6904761904761905,0.907935881264575,0.9,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,17,0.7,50000,300,,0.0044779591262340546,0.0007784580811858177,0.49942916724830866,0.11657708851334485,0.09845694483961714,0.28680429301489013,1.0106322175136624,50000,0.2091456077015644,0.0,0.2583634175691938,0.1,0.5764352618594262,0.43531429992814663,0.25925067291691756,0.4236667449014968,0.6428571428571429,0.6428571428571429,0.9096165974645596,0.7,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,18,0.7,50000,300,,0.008061332628130913,0.0003455420956015587,0.5102430828846991,0.11089825919005851,0.09214943501366024,0.27869581402467963,0.9971493135825669,50000,0.20794223826714803,0.0,0.2647412755716005,0.1,0.5794286289183089,0.40558204194339303,0.3155052855975676,0.43350531881975646,0.7619047619047619,0.7619047619047619,0.9203176493811959,0.8,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R,20,3.0,19,0.7,50000,300,,0.005061166826635599,0.00046070804819464684,0.41512066731229424,0.12274930741347848,0.10706316943612099,0.29137476224242065,0.9492778646298473,50000,0.19807460890493384,0.0,0.24825511432009628,0.1,0.49859829937578315,0.1860382089703035,0.199479082350202,0.29470519689876284,0.7619047619047619,0.7619047619047619,0.9039795463442216,0.4,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,0,0.7,50000,300,,0.005979458335787058,0.001367500051856041,1.2454212503507733,0.8945493659878107,0.8972432025926913,0.938012911409521,0.10545063401218958,50000,0.0539109506618532,0.0,0.07051744885679904,0.0,0.11516357695502691,0.1667760181321094,0.15081440530531484,0.1442513334641504,0.0,0.0,0.22644918747469744,0.0,0.85
